Provider Name,AHFoZ Number,Registration Number,Provider Type,Speciality,Medical Aid Accepted,Organisation,Address,City,Province,Phone,Mobile,Email,Website,Contact Person,Latitude,Longitude,Source URL,Source Title,Last Verified,Notes
BANDASON C,20125,,Healthcare Provider,,PSMAS,PSMAS Network,123 BAINES AVENUE HARARE,Cbd,Harare,0242733671,733671000,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: OPTICALS | Imported from repository PSMAS Excel | Section: OPTICALS
BANHWA R- DELISTO PHYSIOCARE,340367,,Rehabilitation Centre,,PSMAS,PSMAS Network,"11 SMIT CRESCENT, EASTLEA",Eastlea,Harare,,775111478,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: REHABILITATION | Imported from repository PSMAS Excel | Section: REHABILITATION
BANHWA R. P,70461,,Doctor,General Practitioner,PSMAS,PSMAS Network,"38 ANGWA STREET, ARESS HOUSE, CNR G/SILUNDIKA",Cbd,Harare,0242788535,773035042,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: DENTISTS
BANKET HOSPITAL,40010,,Hospital,,PSMAS,PSMAS Network,"P. BOX 28, BANKET",Zvimba,Mashonaland West,0672143327,0672143327,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-WEST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-WEST-NETWORK-07-26,2026-07-27,Section: HOSPITALS | Imported from repository PSMAS Excel | Section: HOSPITALS
BARA M,208230,,Healthcare Provider,,PSMAS,PSMAS Network,72 GEORGE SILUNDIKA,Cbd,Harare,242795229,788260560,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: OPTICALS | Imported from repository PSMAS Excel | Section: OPTICALS
BARA W,8265,,Doctor,General Practitioner,PSMAS,PSMAS Network,"102 NELSON MANDELA GRAYHURST BUILDING, HARARE",Cbd,Harare,,776601051 / 773945523,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
BARNA R.N,330191,,Doctor,Specialist,PSMAS,PSMAS Network,"BETHEL CLINIC, 73 6TH STREET, GWERU",Gweru,Midlands,,713456776,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: SPECIALISTS | Imported from repository PSMAS Excel | Section: SPECIALISTS
BARNETT A,571639,,Doctor,Anaesthetist,PSMAS,PSMAS Network,GWERU HOSPITAL,Gweru,Midlands,,778406046,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: NURSE ANAESTHETIST | Imported from repository PSMAS Excel | Section: NURSE ANAESTHETIST
BASILE B,70348,,Dentist,Dentistry,PSMAS,PSMAS Network,KALMIC HOUSE NO 22/23 CORNER MAIN STREET AND APPLEY,Bindura,Mashonaland Central,,772757188,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: DENTISTS | Imported from repository PSMAS Excel | Section: DENTISTS
BASOPA R,35194,,Rehabilitation Centre,,PSMAS,PSMAS Network,ZENGEZA 4 CHITUNGWIZA,Chitungwiza,Harare,,,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: REHABILITATION | Imported from repository PSMAS Excel | Section: REHABILITATION
BBRAUN,506280,,Dialysis Centre,,PSMAS,PSMAS Network,57 BAINES AVE,Harare,Harare,242741186,8644116336,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: DIALYSIS UNITS | Imported from repository PSMAS Excel | Section: DIALYSIS UNITS
BBRAUN,506009,,Dialysis Centre,,PSMAS,PSMAS Network,127A FIFE ST BTWN 13TH/14TH,Bulawayo,Bulawayo,,86444235012,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: DIALYSIS CENTRE | Imported from repository PSMAS Excel | Section: DIALYSIS CENTRE
BBRAUN GWERU,506708,,Dialysis Centre,,PSMAS,PSMAS Network,"8766 GYMKHANA GROUNDS, J TONGOGARA AVENUE GWERU",Gweru,Midlands,542226683,542226683,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: DIALYSIS | Imported from repository PSMAS Excel | Section: DIALYSIS
BBRAUN HAEMODIALYSIS CENTRE,1612,,Dialysis Centre,,PSMAS,PSMAS Network,123 -125 HERBERT CHITEPO,Cbd,Manicaland,773993444 / 0772933499,0773993444 / 0772933499,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: HAEMODIALYSIS | Imported from repository PSMAS Excel | Section: HAEMODIALYSIS
BEAUTALIN RADIOLOGY,690171,,Radiology Centre,Radiology,PSMAS,PSMAS Network,"95 MARWEDE ROAD, GLAUDINA",Glaudina,Harare,242218164,788804985,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BEITBRIDGE HOSPITAL,40061,,Doctor,ENT,PSMAS,PSMAS Network,"BOX 57, BEITBRIDGE",Beitbridge,Matabeleland South,,852322496,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26,2026-07-27,Section: GOVERNMENT HOSPITAL | Imported from repository PSMAS Excel | Section: GOVERNMENT HOSPITAL
BELVEDERE,50059,,Private Hospital,,PSMAS,PSMAS Network,17 PRINCESS ROAD BELVEDERE,Harare,Harare,242861062,778199210,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS
BELVEDERE PHAMACY LONGCHEN,272330,,Pharmacy,,PSMAS,PSMAS Network,189 SAMORA MACHEL AVE/BLAKEWAY DRIVE BELVEDERE,Belvedere,Harare,242740228,778304207,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BEST ZONE,271542,,Pharmacy,,PSMAS,PSMAS Network,749 BORDER GEZI AVENUE,Bindura,Mashonaland Central,,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
BEST ZONE,42905,,Pharmacy,,PSMAS,PSMAS Network,199A MAINSREET,Marondera Cbd,Mashonaland East,,776762625,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
BEST ZONE PHARMACY ANGWA,270717,,Pharmacy,,PSMAS,PSMAS Network,70 ROBERT MUGABE WAY,Cbd,Harare,242761900,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BEST ZONE PHARMACY FIRST STREET,274530,,Pharmacy,,PSMAS,PSMAS Network,56 NELSON MANDELA AVENUE,Cbd,Harare,242255573,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BEST ZONE PHARMACY KWAME NKRUMAH,273988,,Pharmacy,,PSMAS,PSMAS Network,111 KWAME NKRUMAH,Cbd,Harare,242255573,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BEST ZONE PHARMACY ROBERT MUGABE,277333,,Pharmacy,,PSMAS,PSMAS Network,52 ROBERT MUGABE CNR JULIUS NY,Cbd,Harare,242255573,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BEST ZONE PHARMACY SAMORA MACHEL,273023,,Pharmacy,,PSMAS,PSMAS Network,35 SAMORA MACHEL AVE,Cbd,Harare,242555573,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BEST ZONE- THE GREEN,275093,,Pharmacy,,PSMAS,PSMAS Network,254 THE GREEN,Marondera,Mashonaland East,,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
BESTZONE PHARMACY CHINHOYI STREET,278821,,Pharmacy,,PSMAS,PSMAS Network,"9 NELSON MANDELA AVENUE, CNR CHINHOYI STREET",Cbd,Harare,242255573,774357563,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BESTZONE PHARMACY HARARE STREET,273376,,Pharmacy,,PSMAS,PSMAS Network,"7 JASON MOYO AVE, CNR HARARE ST",Cbd,Harare,242255573,780014449,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BESTZONE PHARMACY MBUYA NEHANDA STREET,42476,,Pharmacy,,PSMAS,PSMAS Network,"141 MBUYA NEHANDA, CNR JASON MOYO",Cbd,Harare,242255573,774357563,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BETHEL PHARMACY,81196,,Pharmacy,,PSMAS,PSMAS Network,STAND 15 SHOP 3,Makonde,,0672122359,,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-WEST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-WEST-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BEYOU FRANCIS,0130,,Healthcare Provider,,PSMAS,,7,,,,776520299,,,,,,https://psmas.co.zw/view-download-provider-list/,PSMAS Provider Network List (Excel),2026-07-27,Imported from repository PSMAS Excel
BHONDAI-MHURI M.,11193,,Doctor,General Practitioner,PSMAS,PSMAS Network,NO. 1&2 LARKRISE ROAD WINCHEND,Borrowdale,Harare,,772859799,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
BINDURA HOSPITAL,40029,,Doctor,ENT,PSMAS,PSMAS Network,P BAG 940 BINDURA,Bindura,Mashonaland Central,,778451134,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: GOVERNMENT HOSPITALS | Imported from repository PSMAS Excel | Section: GOVERNMENT HOSPITALS
BINDURA MED CLINIC,507161,,Private Hospital,,PSMAS,PSMAS Network,STAND NO 76 CORNER 1ST AND 2ND STREET,Bindura,Mashonaland Central,,771636226,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
BINDURA MEDI-CENTRE RADIOLOGY,690023,,Radiology Centre,Radiology,PSMAS,PSMAS Network,"STAND 76, CORNER MAIN STREET & 2ND ST",Bindura,Mashonaland Central,662106155,772807758,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BINDURA MEDI-CLINIC LABORATORY,455198,,Laboratory,,PSMAS,PSMAS Network,CORNER MAIN STREET /2ND STREET,Bindura,Mashonaland Central,0662107162,772127401,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
BINDURA UNIVERSITY STUDENTS CLINIC,62108,,Clinic,,PSMAS,PSMAS Network,P. BAG 1020 BINDURA,Bindura,Mashonaland Central,,773054115,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: CLINICS | Imported from repository PSMAS Excel | Section: CLINICS
BINGA DISTRICT HOSPITAL,40088,,Hospital,,PSMAS,PSMAS Network,BOX 7. BINGA,Binga,Matabeleland North,0812847317 / 318 / 319 / 475,0812847317 / 318 / 319 / 475,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MATEBELELAND-NORTH-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MATEBELELAND-NORTH-PROVIDER-NETWORK-07-26,2026-07-27,Section: HOSPITAL | Imported from repository PSMAS Excel | Section: HOSPITAL
BIOFERERENCE,290096,,Laboratory,,PSMAS,PSMAS Network,52 4TH STREET PARADISE PARK,Marondera,Mashonaland East,,779562624,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: LABORATORY | Imported from repository PSMAS Excel | Section: LABORATORY
BIOGENE,298812,,Laboratory,,PSMAS,PSMAS Network,"SAMMALEX BUILDING, SHOP 10 155 K. NKRUMAH",Cbd,Harare,,772648577,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
BIOGENE LABORATORIES-MASVINGO,291013,,Laboratory,,PSMAS,PSMAS Network,7 HOFMEYER STREET,Masvingo,Masvingo,,771256726,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASVINGO-PROVIDERS-LIST-07-26.pdf,PSMAS Provider Network PDF - MASVINGO-PROVIDERS-LIST-07-26,2026-07-27,Section: LABORATORY | Imported from repository PSMAS Excel | Section: LABORATORY
BIOGENICS MEDICAL LABORATORY,450502,,Laboratory,,PSMAS,PSMAS Network,44CHINGAIRA RUSAPE,Rusape,Manicaland,780636989,780636989,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
BIOPATH DIAGNOSTIC LAB,290394,,Laboratory,,PSMAS,PSMAS Network,266 CORMMECIAL STREET,Makonde,,0672121291,,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-WEST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-WEST-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
BIRCHENOUGH BRIDGE HOSPITAL,40037,,Dentist,Dentistry,PSMAS,PSMAS Network,"BIRCHNOUGH BRIDGE, BOX 28,",Birchenough,Manicaland,,0772758190 / 0775264307,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: DENTISTS | Imported from repository PSMAS Excel | Section: DENTISTS
BIRCHENOUGH BRIDGE MEDICAL CENTRE PHARMACY,275166,,Pharmacy,,PSMAS,PSMAS Network,"31 MAUNGANIDZE COMPLEX, BIRCHENOUGH BRIDGE",Birchenough,Manicaland,718314403,0781083546 / 0718314403,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
BIRCHENOUGH BRIDGE MEDICAL CENTRE RADIOLOGY,690481,,Radiology Centre,Radiology,PSMAS,PSMAS Network,"31 MAUNGANIDZE COMPLEX, BIRCHENOUGH BRIDGE",Birchenough,Manicaland,772897017,717320823,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
BIRCHENOUGH BRIDGE MEDICAL CENTRE SURGERY,13986,,Doctor,General Practitioner,PSMAS,PSMAS Network,"31 MAUNGANIDZE COMPLEX, BIRCHENOUGH BRIDGE",Birchenough,Manicaland,717320818,779889223,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONER | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONER
BLUE OCEAN OPTOMETRY,800473,,Optical Centre,Optometry,PSMAS,PSMAS Network,34 BAINES AVENUES,Avenues,Harare,242780085,788977814,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: OPTICALS | Imported from repository PSMAS Excel | Section: OPTICALS
BLUE WATERS MEDICAL CENTRE,480312,,Dentist,Dentistry,PSMAS,PSMAS Network,22417 KUWADZANA EXTENSION,Kuwadzana Ext,Harare,715747022,780800791,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTISTS | Section: DIALYSIS UNITS
BLUE WATERS PHARMACY,274569,,Occupational Health Clinic,,PSMAS,PSMAS Network,STAND 16972 KUWADZANA EXTENSION,Kuwadzana Ext,Harare,,780800791,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: WELLNESS PROVIDERS | Section: PHARMACIES
BMG CLINIC,98379,,Doctor,General Practitioner,PSMAS,PSMAS Network,"45 ROBERT MUGABE WAY, BULAWAYO",Bulawayo,Bulawayo,,774219128 / 773598096,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS | Section: GENERAL PRACTITIONERS | Section: GENERAL PRACTITIONERS | Section: GENERAL PRACTITIONERS | Section: GENERAL PRACTITIONERS
BMG DIAGNOSTIC LABORATORY,450359,,Laboratory,,PSMAS,PSMAS Network,CNR R MUGABE AND 3RD AVE,Bulawayo,Bulawayo,,785463962,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORY | Imported from repository PSMAS Excel | Section: LABORATORY
BOBO I,12612,,Doctor,General Practitioner,PSMAS,PSMAS Network,STAND 6082 DZIVARASEKWA EXT,Dzivarasekwa,Harare,,778565510,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
BOIGENE LABORATORIES,290319,,Laboratory,,PSMAS,PSMAS Network,"19 GALLERIA DE FALLS COMPLEX, VIC FALLS",Victoria Falls,Matabeleland North,,772205788,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MATEBELELAND-NORTH-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MATEBELELAND-NORTH-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORY | Imported from repository PSMAS Excel | Section: LABORATORY
BONDERA T.,76759,,Doctor,General Practitioner,PSMAS,PSMAS Network,4137GOKWE CENTRE,Gokwe South,Midlands,,773151726,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
BOOTIES PHARMACY,271632,,Pharmacy,,PSMAS,PSMAS Network,346 TONGOGARA STREET,Masvingo,Masvingo,,789001084,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASVINGO-PROVIDERS-LIST-07-26.pdf,PSMAS Provider Network PDF - MASVINGO-PROVIDERS-LIST-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
BOOTIES PHARMACY,271489,,Doctor,General Practitioner,PSMAS,PSMAS Network,"63 6TH STREET, GWERU",Gweru,Midlands,5422210567,776471394,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONER | Imported from repository PSMAS Excel | Section: PHARMACIES
BOOTIES PHARMACY FORT ST,429678,,Pharmacy,,PSMAS,PSMAS Network,"104 FORT STREET, BETWEEN 8TH AND 9TH AVENUE",Bulawayo,Bulawayo,2261770,774168869,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
BOOTIES PHARMACY R MUGABE,271349,,Pharmacy,,PSMAS,PSMAS Network,BULAWAYO R G MUGABE WAY,Bulawayo,Bulawayo,2271186,783730893,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
BOOTIES PHARMACY- MARONDERA,273783,,Pharmacy,,PSMAS,PSMAS Network,STAND 63-MEGAWATT BUILDING,Marondera Cbd,Mashonaland East,,773739441,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: PHARMACY | Imported from repository PSMAS Excel | Section: PHARMACY
